,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,1,Giannis Antetokounmpo,MIL,27,12,7,5,37.3,31.7,11.7,23.8,49.1,0.8,3.4,22.0,7.6,11.2,67.9,2.2,12.0,14.2,6.8,4.5,0.7,1.3,3.6,60.0,9,1,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Luka Doncic,DAL,23,15,7,8,36.8,31.7,10.7,23.5,45.5,3.4,9.9,34.5,6.9,9.0,77.0,0.7,9.1,9.8,6.4,3.9,1.8,0.6,2.9,56.3,10,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Nikola Jokic,DEN,27,5,1,4,34.2,31.0,12.2,21.2,57.5,1.0,3.6,27.8,5.6,6.6,84.8,3.4,9.8,13.2,5.8,4.8,1.6,1.0,4.0,58.5,4,0,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Jimmy Butler,MIA,32,17,10,7,37.0,27.4,9.8,19.3,50.6,1.4,4.0,33.8,6.5,7.8,84.1,2.4,4.9,7.4,4.6,1.5,2.1,0.6,1.5,49.8,4,0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Ja Morant,MEM,22,9,5,4,37.5,27.1,9.0,20.4,44.0,1.9,5.6,34.0,7.2,9.7,74.7,1.4,6.6,8.0,9.8,3.6,2.0,0.4,2.4,55.2,6,1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Brandon Ingram,NOP,24,6,2,4,39.3,27.0,9.3,19.7,47.5,1.8,4.5,40.7,6.5,7.8,83.0,0.7,5.5,6.2,6.2,3.8,0.7,0.3,1.8,42.8,2,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Stephen Curry,GSW,34,18,13,5,33.8,26.6,8.7,19.4,45.0,4.0,10.2,39.1,5.1,6.2,82.1,0.5,4.5,5.0,6.0,2.6,1.3,0.4,2.6,44.0,2,0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Jayson Tatum,BOS,24,20,13,7,40.7,26.3,8.4,19.4,43.3,3.2,8.3,38.6,6.3,7.7,82.4,1.0,5.6,6.6,6.1,4.2,1.2,0.9,3.1,45.3,5,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Kevin Durant,BKN,33,4,0,4,44.0,26.3,8.0,20.8,38.6,1.8,5.3,33.3,8.5,9.5,89.5,0.5,5.3,5.8,6.3,5.3,1.0,0.3,3.8,41.0,0,0,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Donovan Mitchell,UTA,25,6,2,4,38.2,25.5,8.8,22.2,39.8,1.7,8.0,20.8,6.2,7.0,88.1,1.0,3.3,4.3,5.7,2.7,0.7,0.5,2.3,40.0,0,0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Anthony Edwards,MIN,20,6,2,4,37.8,25.2,8.3,18.3,45.5,3.8,9.5,40.4,4.7,5.7,82.4,0.7,3.5,4.2,3.0,2.5,1.2,1.2,3.7,39.2,0,0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,Joel Embiid,PHI,28,10,6,4,38.5,23.6,7.8,16.1,48.4,0.7,3.3,21.2,7.3,8.9,82.0,2.1,8.6,10.7,2.1,3.2,0.4,0.8,3.4,40.0,8,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Devin Booker,PHX,25,10,5,5,36.6,23.3,7.9,17.5,45.1,2.8,6.5,43.1,4.7,5.3,88.7,1.0,3.8,4.8,4.4,3.2,0.5,0.4,2.5,35.2,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Pascal Siakam,TOR,28,6,2,4,43.4,22.8,8.5,17.8,47.7,0.7,2.8,23.5,5.2,6.0,86.1,1.3,5.8,7.2,5.8,2.2,1.2,1.0,4.0,44.5,2,0,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Jaylen Brown,BOS,25,20,13,7,37.6,22.7,8.1,17.2,47.2,2.5,6.6,37.4,4.1,5.4,75.7,1.2,5.6,6.8,3.6,3.0,1.2,0.5,3.0,38.1,2,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,CJ McCollum,NOP,30,6,2,4,39.0,22.2,8.2,20.8,39.2,2.8,8.5,33.3,3.0,4.3,69.2,1.8,4.8,6.7,4.8,2.5,0.7,0.8,2.5,39.4,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,Karl-Anthony Towns,MIN,26,6,2,4,36.9,21.8,6.5,13.3,48.8,1.7,3.7,45.5,7.2,8.3,86.0,1.8,9.0,10.8,2.2,4.5,0.7,2.0,4.2,41.6,5,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,Jalen Brunson,DAL,25,18,9,9,35.0,21.6,8.1,17.3,46.6,1.4,4.2,34.7,4.0,5.0,80.0,0.8,3.8,4.6,3.7,1.1,0.8,0.1,2.1,34.0,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Kyrie Irving,BKN,30,4,0,4,42.6,21.3,7.0,15.8,44.4,2.0,5.3,38.1,5.3,5.3,100.0,1.5,3.8,5.3,5.3,2.3,1.8,1.3,3.3,42.2,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,De'Andre Hunter,ATL,24,5,1,4,34.9,21.2,7.8,14.0,55.7,2.4,5.2,46.2,3.2,4.0,80.0,0.4,3.4,3.8,0.6,2.2,0.8,0.2,4.0,27.5,1,0,-15.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,DeMar DeRozan,CHI,32,5,1,4,40.7,20.8,7.8,19.0,41.1,0.0,1.8,0.0,5.2,6.0,86.7,0.2,5.2,5.4,4.8,2.2,1.8,0.4,2.4,38.9,0,0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,Tyrese Maxey,PHI,21,12,6,6,40.4,20.8,7.3,15.2,48.4,2.2,5.8,37.7,3.9,4.2,94.0,0.5,3.0,3.5,3.9,1.8,0.8,0.2,2.0,31.8,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,Nikola Vucevic,CHI,31,5,1,4,36.2,19.4,8.0,18.2,44.0,2.6,8.4,31.0,0.8,1.0,80.0,2.8,9.6,12.4,3.2,1.6,0.4,1.2,2.8,42.3,4,0,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,Zach LaVine,CHI,27,4,1,3,38.1,19.3,6.8,15.8,42.9,2.3,6.0,37.5,3.5,3.8,93.3,0.0,5.3,5.3,6.0,3.0,0.8,0.3,2.3,34.6,2,0,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,Jrue Holiday,MIL,31,12,7,5,38.6,19.1,7.4,19.6,37.9,2.1,6.6,31.6,2.2,2.6,83.9,1.0,4.6,5.6,6.5,2.8,1.8,0.6,2.3,39.7,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,Klay Thompson,GSW,32,18,13,5,35.1,19.1,7.3,16.7,44.0,3.4,8.8,38.6,1.0,1.2,81.8,0.3,3.7,4.1,2.3,1.3,1.0,0.7,1.9,31.1,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,Desmond Bane,MEM,23,12,6,6,35.6,18.8,6.3,13.3,47.8,3.6,7.3,48.9,2.5,2.9,85.7,0.4,3.3,3.8,2.2,1.3,0.9,0.8,1.9,30.2,0,0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,James Harden,PHI,32,12,6,6,39.9,18.6,5.3,13.2,40.5,2.3,6.3,36.8,5.6,6.3,89.3,0.9,4.8,5.7,8.6,4.2,0.8,0.7,2.4,38.3,3,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,Bojan Bogdanovic,UTA,33,6,2,4,35.7,18.0,6.5,13.5,48.1,1.8,5.5,33.3,3.2,4.0,79.2,0.5,3.7,4.2,1.7,2.0,0.3,0.0,4.0,24.5,0,0,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,Deandre Ayton,PHX,23,13,7,6,30.5,17.9,8.1,12.6,64.0,0.2,0.3,50.0,1.6,2.5,63.6,2.5,6.4,8.9,1.7,1.5,0.4,0.8,2.6,33.2,4,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,Jordan Poole,GSW,22,18,13,5,29.4,17.8,6.1,11.8,51.6,2.3,5.7,39.8,3.3,3.6,92.2,0.5,2.6,3.1,4.3,2.7,0.9,0.4,2.9,29.0,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,Chris Paul,PHX,37,13,7,6,34.4,17.5,6.7,11.9,56.1,1.5,3.8,38.8,2.7,2.8,94.6,0.5,3.6,4.2,8.3,2.4,1.5,0.2,3.1,37.4,4,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,Jordan Clarkson,UTA,29,6,2,4,28.4,17.5,6.7,12.2,54.8,1.5,4.0,37.5,2.7,3.0,88.9,0.8,2.3,3.2,1.3,1.7,0.5,0.2,2.8,23.6,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
