,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,50,Will Barton,DEN,31,5,1,4,34.4,13.8,5.4,13.2,40.9,2.2,5.6,39.3,0.8,1.2,66.7,1.0,4.6,5.6,2.8,2.0,0.8,0.2,2.2,25.7,1,0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,Fred VanVleet,TOR,28,4,1,3,35.0,13.8,4.8,13.5,35.2,3.0,9.0,33.3,1.3,1.5,83.3,0.5,2.5,3.0,6.3,1.0,1.8,1.0,3.0,34.0,0,0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,53,Mikal Bridges,PHX,25,13,7,6,38.5,13.3,5.1,10.6,47.8,1.0,2.5,39.4,2.2,2.3,93.3,0.9,3.8,4.7,2.8,0.8,1.1,1.0,2.4,28.6,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54,Scottie Barnes,TOR,20,4,2,2,33.2,12.8,4.5,10.5,42.9,0.5,3.0,16.7,3.3,4.0,81.3,1.8,7.3,9.0,4.3,1.3,1.0,0.3,3.0,32.4,1,0,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,Tyler Herro,MIA,22,15,10,5,25.4,12.6,4.9,12.1,40.9,1.1,4.7,22.9,1.7,1.8,92.6,0.5,3.4,3.9,2.8,1.8,0.6,0.4,1.4,22.6,1,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56,Brandon Clarke,MEM,25,12,6,6,24.7,12.3,4.7,7.6,61.5,0.0,0.1,0.0,3.0,4.5,66.7,3.1,3.8,6.9,2.0,1.0,0.8,0.8,1.9,27.4,3,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,57,Al Horford,BOS,36,19,13,6,36.0,12.1,4.5,8.7,51.2,2.0,4.3,46.3,1.2,1.4,81.5,1.5,7.8,9.3,3.3,1.2,0.8,1.5,2.9,34.0,5,0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,58,D'Angelo Russell,MIN,26,6,2,4,32.7,12.0,4.0,12.0,33.3,2.0,5.2,38.7,2.0,2.7,75.0,0.0,2.5,2.5,6.7,2.8,1.5,0.0,2.8,26.7,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,58,Rudy Gobert,UTA,29,6,2,4,32.8,12.0,3.5,5.5,63.6,0.0,0.0,0.0,5.0,7.3,68.2,3.5,9.7,13.2,0.5,1.3,0.2,1.0,3.2,30.7,3,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60,Patrick Williams,CHI,20,5,1,4,30.6,11.8,4.4,9.4,46.8,1.4,4.2,33.3,1.6,2.2,72.7,1.2,4.2,5.4,0.8,1.4,1.0,0.6,3.0,22.9,1,0,-15.6,,,,,,,,,,,,,,,,,,,,,,,,,,
10,61,Dorian Finney-Smith,DAL,29,18,9,9,38.2,11.7,4.1,8.7,47.1,2.6,6.0,42.6,0.9,1.3,70.8,1.8,3.7,5.5,1.9,1.0,0.9,0.4,2.9,24.2,1,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
11,62,Chris Boucher,TOR,29,6,2,4,21.6,11.2,4.3,7.0,61.9,1.0,2.5,40.0,1.5,1.7,90.0,2.0,3.8,5.8,0.2,0.3,0.2,1.2,2.2,22.1,1,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,63,Kevin Knox II,ATL,22,2,0,2,4.6,11.0,3.5,5.5,63.6,3.0,5.0,60.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,1.5,1.0,0.0,0.0,13.7,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,63,Patrick Beverley,MIN,33,6,2,4,32.3,11.0,3.5,8.2,42.9,1.5,4.3,34.6,2.5,3.7,68.2,0.7,2.5,3.2,4.8,2.0,1.2,1.2,4.7,27.1,0,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
